sample	label
GSM1980054	colorectal
GSM1348545	breast
GSM1897329	breast
GSM1593808	
GSM1693179	breast
GSM1693178	breast
GSM1555729	prostate
GSM1957020	lung
GSM1401708	breast
GSM1897333	breast
GSM1980048	colorectal
GSM1693176	breast
GSM1523191	
GSM1712132	prostate
GSM1503445	breast
GSM1401738	breast
GSM1826491	ovarian
GSM1300629	breast
GSM2100898	pancreatic
GSM1716727	ovarian
GSM2100915	pancreatic
GSM1712146	prostate
GSM1897297	breast
GSM2100863	pancreatic
GSM1533418	breast
GSM1555731	prostate
GSM2055794	gastric
GSM1716741	ovarian
GSM1399413	breast
GSM2100867	pancreatic
GSM1556182	breast
GSM1553457	breast
GSM1897301	breast
GSM1401741	breast
GSM1593796	
GSM2285378	
GSM1897289	breast
GSM2100885	pancreatic
GSM1401653	breast
GSM1348551	breast
GSM1401671	breast
GSM1716738	ovarian
GSM1359237	prostate
GSM1638970	colorectal
GSM2285411	
GSM1980050	colorectal
GSM1712140	prostate
GSM1716732	ovarian
GSM2285406	
GSM1712141	prostate
GSM1874955	breast
GSM1716730	ovarian
GSM1716745	ovarian
GSM1401721	breast
GSM1844649	prostate
GSM1826497	ovarian
GSM1891972	breast
GSM1716733	ovarian
GSM1897346	breast
GSM1401682	breast
GSM1716737	ovarian
GSM1890002	
GSM1716729	ovarian
GSM1826493	ovarian
GSM2300453	lung
GSM1348549	breast
GSM2100880	pancreatic
GSM1716736	ovarian
GSM1712145	prostate
GSM2100862	pancreatic
GSM1412748	colorectal
GSM1716735	ovarian
GSM2100883	pancreatic
GSM1897350	breast
GSM1401663	breast
GSM1540966	
GSM1561267	
GSM1897295	breast
GSM1897286	breast
GSM1726312	prostate
GSM2267402	gastric
GSM1317636	breast
GSM1401686	breast
GSM1726307	prostate
GSM1401732	breast
GSM1897330	breast
GSM2100866	pancreatic
GSM1826494	ovarian
GSM1555726	prostate
GSM1956995	lung
GSM1712127	prostate
GSM1897338	breast
GSM1808261	gastric
GSM1300631	breast
GSM1712123	prostate
GSM1726303	prostate
GSM1401685	breast
GSM1971013	colorectal
GSM1897307	breast
GSM1401792	
GSM1897328	breast
GSM1716744	ovarian
GSM2100877	pancreatic
GSM1317641	breast
GSM1593806	
GSM2100907	pancreatic
GSM1726309	prostate
GSM1401695	breast
GSM2300449	lung
GSM2300450	lung
GSM1897293	breast
GSM1817677	breast
GSM1593780	
GSM1401665	breast
GSM1401705	breast
GSM1555721	prostate
GSM2267401	gastric
GSM1844651	prostate
GSM1401706	breast
GSM1503442	breast
GSM1593792	
GSM1503435	breast
GSM1401694	breast
GSM1300628	breast
GSM1540970	
GSM1401667	breast
GSM1348550	breast
GSM1533417	breast
GSM2285398	
GSM1259078	ovarian
GSM1401722	breast
GSM1897276	breast
GSM1401718	breast
GSM2100906	pancreatic
GSM1314288	breast
GSM1401697	breast
GSM2218825	breast
GSM1300627	breast
GSM1348546	breast
GSM1401674	breast
GSM1712138	prostate
GSM1359238	prostate
GSM1655595	ovarian
GSM1523196	
GSM1300632	breast
GSM1942105	breast
GSM1891970	breast
GSM1545678	colorectal
GSM2285409	
GSM1897296	breast
GSM1712139	prostate
GSM1712137	prostate
GSM2285397	
GSM1897312	breast
GSM2267407	gastric
GSM1712124	prostate
GSM1377983	
GSM1401734	breast
GSM2285389	
GSM1655587	ovarian
GSM1655591	ovarian
GSM1922720	ovarian
GSM1891971	breast
GSM1726311	prostate
GSM1922717	ovarian
GSM1401699	breast
GSM1401691	breast
GSM1328163	prostate
GSM1982266	lung
GSM1716740	ovarian
GSM1401657	breast
GSM2100857	pancreatic
GSM1844650	prostate
GSM1897320	breast
GSM2100896	pancreatic
GSM1642772	
GSM1533423	breast
GSM1300622	breast
GSM1555727	prostate
GSM1593782	
GSM2100893	pancreatic
GSM1377982	
GSM1401662	breast
GSM2100855	pancreatic
GSM1897334	breast
GSM2055792	breast
GSM1401680	breast
GSM1712144	prostate
GSM2267400	gastric
GSM1300630	breast
GSM1897344	breast
GSM1980051	colorectal
GSM1431878	breast
GSM1401793	
GSM2100861	pancreatic
GSM1707503	colorectal
GSM2157837	colorectal
GSM1348548	breast
GSM1897354	breast
GSM1593774	
GSM1726310	prostate
GSM1348547	breast
GSM1716724	ovarian
GSM1897302	breast
GSM1540974	
GSM1874957	breast
GSM1401740	breast
GSM1593776	
GSM1540968	
GSM1317639	breast
GSM1401737	breast
GSM2285407	
GSM1874953	breast
GSM1314287	breast
GSM1726306	prostate
GSM2100892	pancreatic
GSM1401729	breast
GSM1401693	breast
GSM1897299	breast
GSM2285412	
GSM1666033	
GSM1401791	
GSM1545679	colorectal
GSM1431876	breast
GSM1957011	lung
GSM1555723	prostate
GSM1401669	breast
GSM1844653	prostate
GSM1655594	ovarian
GSM2100913	pancreatic
GSM1503437	breast
GSM1561268	
GSM1712133	prostate
GSM2285404	
GSM2285388	
GSM1523195	
GSM1401654	breast
GSM1922715	ovarian
GSM1367030	prostate
GSM1593814	
GSM1971014	colorectal
GSM1367029	prostate
GSM1897327	breast
GSM1980049	colorectal
GSM1874956	breast
GSM1707509	colorectal
GSM1401703	breast
GSM2285382	
GSM1401700	breast
GSM1553460	breast
GSM1401652	breast
GSM1897281	breast
GSM1537305	breast
GSM1401670	breast
GSM1897300	breast
GSM1982265	lung
GSM1707508	colorectal
GSM1707504	colorectal
GSM1593772	
GSM1593800	
GSM1693177	breast
GSM2285408	
GSM1897326	breast
GSM1826498	ovarian
GSM1545674	colorectal
GSM1897317	breast
GSM1726304	prostate
GSM2100895	pancreatic
GSM1555732	prostate
GSM1982261	lung
GSM1957015	lung
GSM1826499	ovarian
GSM1897316	breast
GSM1942107	breast
GSM1655593	ovarian
GSM1533419	breast
GSM1401684	breast
GSM1348541	breast
GSM2285414	
GSM1300623	breast
GSM1897336	breast
GSM1593812	
GSM1897284	breast
GSM1401704	breast
GSM1942104	breast
GSM1401690	breast
GSM1726301	prostate
GSM2100853	pancreatic
GSM2100851	pancreatic
GSM1273497	breast
GSM1897342	breast
GSM1348544	breast
GSM1957013	lung
GSM2285392	
GSM2267406	gastric
GSM1642777	
GSM1897314	breast
GSM1942109	breast
GSM1294045	breast
GSM1957024	lung
GSM2100864	pancreatic
GSM1956984	lung
GSM1593802	
GSM1897279	breast
GSM1712136	prostate
GSM2055793	colorectal
GSM2285387	
GSM2100905	pancreatic
GSM1642778	
GSM1401713	breast
GSM1401696	breast
GSM1401676	breast
GSM1844652	prostate
GSM1294044	breast
GSM1890003	
GSM1956986	lung
GSM2285390	
GSM1555722	prostate
GSM1712125	prostate
GSM1533421	breast
GSM2055797	prostate
GSM1897308	breast
GSM1666032	
GSM1726305	prostate
GSM2100902	pancreatic
GSM1922718	ovarian
GSM2300451	lung
GSM1523197	
GSM1401672	breast
GSM2100901	pancreatic
GSM2100870	pancreatic
GSM1300633	breast
GSM1716728	ovarian
GSM1897306	breast
GSM1533415	breast
GSM2100873	pancreatic
GSM1844654	prostate
GSM2100874	pancreatic
GSM1642776	
GSM2100881	pancreatic
GSM1401698	breast
GSM1399412	breast
GSM1545675	colorectal
GSM2285399	
GSM1540969	
GSM1503441	breast
GSM1956992	lung
GSM1826492	ovarian
GSM1716739	ovarian
GSM1306819	colorectal
GSM1956974	lung
GSM1300624	breast
GSM2285395	
GSM1401758	breast
GSM1982262	lung
GSM1655585	ovarian
GSM1533422	breast
GSM1401745	breast
GSM1401735	breast
GSM2100859	pancreatic
GSM1401715	breast
GSM1412745	colorectal
GSM2100887	pancreatic
GSM1593784	
GSM2285423	
GSM1957014	lung
GSM1540971	
GSM2285385	
GSM1716746	ovarian
GSM1897340	breast
GSM1399414	breast
GSM1642779	
GSM1523198	
GSM2300454	lung
GSM2100886	pancreatic
GSM1317637	breast
GSM1826502	ovarian
GSM1556183	breast
GSM1897310	breast
GSM1503443	breast
GSM2285401	
GSM1897345	breast
GSM1897355	breast
GSM1431877	breast
GSM1553458	breast
GSM1716748	ovarian
GSM1897351	breast
GSM1982260	lung
GSM1712135	prostate
GSM1401649	breast
GSM1712134	prostate
GSM1655592	ovarian
GSM1897347	breast
GSM1897280	breast
GSM1956990	lung
GSM1273498	breast
GSM1897323	breast
GSM1401754	breast
GSM1401739	breast
GSM1593770	
GSM1259077	ovarian
GSM2285424	
GSM1553455	breast
GSM1956975	lung
GSM1897341	breast
GSM2100891	pancreatic
GSM1712119	prostate
GSM2100854	pancreatic
GSM1401753	breast
GSM1897319	breast
GSM2285379	
GSM2285410	
GSM1716722	ovarian
GSM1401707	breast
GSM2285396	
GSM1401683	breast
GSM1956979	lung
GSM1401751	breast
GSM1716723	ovarian
GSM1273499	breast
GSM1897287	breast
GSM1401658	breast
GSM1956991	lung
GSM2285383	
GSM2100900	pancreatic
GSM1401749	breast
GSM1424523	prostate
GSM1897332	breast
GSM1897278	breast
GSM1401720	breast
GSM1897356	breast
GSM1716743	ovarian
GSM1537307	breast
GSM2285380	
GSM1401675	breast
GSM1399411	breast
GSM1401716	breast
GSM1716725	ovarian
GSM1897321	breast
GSM1367028	prostate
GSM1956987	lung
GSM1277662	gastric
GSM2100852	pancreatic
GSM1897331	breast
GSM1401688	breast
GSM1424515	prostate
GSM2100899	pancreatic
GSM2300448	lung
GSM1957021	lung
GSM1897322	breast
GSM1956996	lung
GSM1817678	breast
GSM2055801	gastric
GSM1712142	prostate
GSM2100903	pancreatic
GSM1897343	breast
GSM2100871	pancreatic
GSM1431881	breast
GSM1556177	breast
GSM1897309	breast
GSM1593798	
GSM2100872	pancreatic
GSM2100875	pancreatic
GSM2285381	
GSM1523192	
GSM1401728	breast
GSM2285421	
GSM1401650	breast
GSM1956977	lung
GSM1707505	colorectal
GSM1424519	prostate
GSM2285417	
GSM2100904	pancreatic
GSM1401655	breast
GSM1401673	breast
GSM1401717	breast
GSM1503434	breast
GSM1897311	breast
GSM2285394	
GSM1956989	lung
GSM2100894	pancreatic
GSM1424522	prostate
GSM1431874	breast
GSM1556186	breast
GSM1897303	breast
GSM1556185	breast
GSM2100860	pancreatic
GSM1593786	
GSM1401659	breast
GSM1826496	ovarian
GSM1897349	breast
GSM2285420	
GSM2100912	pancreatic
GSM2100858	pancreatic
GSM1401711	breast
GSM1707510	colorectal
GSM2267404	gastric
GSM1897324	breast
GSM1306821	colorectal
GSM1401648	breast
GSM2285403	
GSM2100897	pancreatic
GSM1424517	prostate
GSM2285416	
GSM1826500	ovarian
GSM2285419	
GSM1655586	ovarian
GSM1956980	lung
GSM1593768	
GSM1401733	breast
GSM1593790	
GSM2285425	
GSM1593794	
GSM1540967	
GSM1642773	
GSM1431870	breast
GSM1503440	breast
GSM1716747	ovarian
GSM1401651	breast
GSM1317638	breast
GSM1897353	breast
GSM1655596	ovarian
GSM1897313	breast
GSM1431871	breast
GSM1294042	breast
GSM1593816	
GSM1922716	ovarian
GSM1401709	breast
GSM1273494	breast
GSM1642771	
GSM1523193	
GSM1971015	colorectal
GSM1556184	breast
GSM1897292	breast
GSM2100878	pancreatic
GSM1707507	colorectal
GSM1401756	breast
GSM1897352	breast
GSM1401727	breast
GSM2267399	gastric
GSM1897339	breast
GSM1545677	colorectal
GSM2285413	
GSM1328161	prostate
GSM1401677	breast
GSM2100879	pancreatic
GSM1956994	lung
GSM2267408	gastric
GSM1317640	breast
GSM1561269	
GSM1897294	breast
GSM1401687	breast
GSM1817676	breast
GSM1897298	breast
GSM1401712	breast
GSM1503433	breast
GSM1956982	lung
GSM1982259	lung
GSM1300626	breast
GSM1808260	gastric
GSM1642775	
GSM1300634	breast
GSM2100911	pancreatic
GSM1556179	breast
GSM2267409	gastric
GSM1956983	lung
GSM1424518	prostate
GSM2055799	breast
GSM2100914	pancreatic
GSM1956981	lung
GSM2285400	
GSM2055804	prostate
GSM1431873	breast
GSM1401746	breast
GSM1957012	lung
GSM1533416	breast
GSM1826501	ovarian
GSM1401664	breast
GSM2100909	pancreatic
GSM1707506	colorectal
GSM1655590	ovarian
GSM1980047	colorectal
GSM2300446	lung
GSM2285393	
GSM1874952	breast
GSM2285405	
GSM1890004	
GSM1306816	colorectal
GSM1401731	breast
GSM1553456	breast
GSM2285384	
GSM1431872	breast
GSM1523194	
GSM1716726	ovarian
GSM1424516	prostate
GSM1897335	breast
GSM1956976	lung
GSM1306818	colorectal
GSM1401679	breast
GSM1401790	
GSM1348552	breast
GSM1401668	breast
GSM1300635	breast
GSM2100884	pancreatic
GSM1401750	breast
GSM2100856	pancreatic
GSM1712131	prostate
GSM2100865	pancreatic
GSM1273495	breast
GSM1712120	prostate
GSM2100888	pancreatic
GSM1655588	ovarian
GSM1716734	ovarian
GSM1980053	colorectal
GSM1942108	breast
GSM1401714	breast
GSM1545676	colorectal
GSM1712126	prostate
GSM1980052	colorectal
GSM1712130	prostate
GSM1556178	breast
GSM1401747	breast
GSM1401725	breast
GSM1273492	breast
GSM1553459	breast
GSM2285402	
GSM1642774	
GSM1503439	breast
GSM1401666	breast
GSM1638969	colorectal
GSM1726302	prostate
GSM1401661	breast
GSM1540972	
GSM1401692	breast
GSM1712147	prostate
GSM1401689	breast
GSM1956978	lung
GSM1593818	
GSM1561266	
GSM2100890	pancreatic
GSM1982264	lung
GSM1348542	breast
GSM1956993	lung
GSM2100882	pancreatic
GSM1300625	breast
GSM1897285	breast
GSM1401752	breast
GSM1259076	ovarian
GSM1503438	breast
GSM1942106	breast
GSM1897282	breast
GSM1897291	breast
GSM1424521	prostate
GSM1277664	gastric
GSM2285391	
GSM2100908	pancreatic
GSM1957019	lung
GSM2267405	gastric
GSM1897318	breast
GSM1897315	breast
GSM1956997	lung
GSM1328162	prostate
GSM1826495	ovarian
GSM1503436	breast
GSM1401719	breast
GSM1412746	colorectal
GSM1897305	breast
GSM1375523	
GSM1564294	lung
GSM1375530	
GSM1702595	lung
GSM2112769	breast
GSM1564301	lung
GSM1564307	lung
GSM1375531	
GSM1375529	
GSM1564298	lung
GSM2112723	breast
GSM2112783	breast
GSM2155005	colorectal
GSM2355681	lung
GSM1702593	lung
GSM2112754	breast
GSM1587500	prostate
GSM1375520	
GSM1564313	lung
GSM1702611	lung
GSM1564317	lung
GSM1375527	
GSM1564316	lung
GSM1375521	
GSM2112734	breast
GSM2112743	breast
GSM2112790	breast
GSM2112764	breast
GSM2112735	breast
GSM2112770	breast
GSM2190560	ovarian
GSM2155007	colorectal
GSM1722948	prostate
GSM2112750	breast
GSM1564299	lung
GSM2112794	breast
GSM2112761	breast
GSM1273067	
GSM1273066	
GSM2190561	ovarian
GSM1564322	lung
GSM1564291	lung
GSM1409345	
GSM1375525	
GSM1375518	
GSM2112751	breast
GSM1564297	lung
GSM1564288	lung
GSM1564318	lung
GSM2155013	colorectal
GSM1564296	lung
GSM2190569	ovarian
GSM2112736	breast
GSM2112720	breast
GSM1273055	
GSM2155008	colorectal
GSM1375519	
GSM1564320	lung
GSM2112725	breast
GSM1702615	lung
GSM1702622	lung
GSM1273073	
GSM1564292	lung
GSM1967996	pancreatic
GSM1564305	lung
GSM1564287	lung
GSM1564325	lung
GSM2112776	breast
GSM1564302	lung
GSM2112733	breast
GSM2112762	breast
GSM2112786	breast
GSM2112774	breast
GSM1375528	
GSM1564293	lung
GSM2155012	colorectal
GSM1564311	lung
GSM1564321	lung
GSM1564306	lung
GSM2112746	breast
GSM2155014	colorectal
GSM1564310	lung
GSM1587498	prostate
GSM1702597	lung
GSM2112772	breast
GSM2155010	colorectal
GSM1375522	
GSM2112778	breast
GSM1375526	
GSM1273068	
GSM1564304	lung
GSM1564323	lung
GSM2112744	breast
GSM2112788	breast
GSM1702608	lung
GSM2190568	ovarian
GSM2112789	breast
GSM2112753	breast
GSM2112724	breast
GSM1273058	
GSM2112730	breast
GSM1902622	prostate
GSM1375524	
GSM1702601	lung
GSM2112765	breast
GSM2112727	breast
GSM1564324	lung
GSM2112742	breast
GSM2112787	breast
GSM1702628	lung
GSM2112741	breast
GSM1902623	prostate
GSM2112726	breast
GSM1564308	lung
GSM2155011	colorectal
GSM2190562	ovarian
GSM1857419	colorectal
GSM2327639	
GSM2112793	breast
GSM2355676	lung
GSM1564289	lung
GSM1564326	lung
GSM1564319	lung
GSM2155004	colorectal
GSM2112745	breast
GSM2355682	lung
GSM2190559	ovarian
GSM2190572	ovarian
GSM1702587	lung
GSM1857420	colorectal
GSM1968003	pancreatic
GSM2112721	breast
GSM1967999	pancreatic
GSM2155009	colorectal
GSM2190566	ovarian
GSM2112722	breast
GSM2190571	ovarian
GSM1587502	prostate
GSM2112785	breast
GSM2112748	breast
GSM1273062	
GSM2112749	breast
GSM1564309	lung
GSM1273056	
GSM1702631	lung
GSM1432898	colorectal
GSM1564290	lung
GSM1702605	lung
GSM1593766	
GSM1564300	lung
GSM2112775	breast
GSM1273064	
GSM2112768	breast
GSM2190570	ovarian
GSM2155015	colorectal
GSM2190567	ovarian
GSM1702588	lung
GSM1409343	
GSM2112729	breast
GSM2155006	colorectal
GSM2112752	breast
GSM2112758	breast
GSM2355675	lung
GSM1564314	lung
GSM1564312	lung
GSM2112782	breast
GSM2190563	ovarian
GSM1564303	lung
GSM1864032	breast
GSM1967994	pancreatic
GSM1968002	pancreatic
GSM1409342	
GSM2112760	breast
GSM1702626	lung
GSM1409352	
GSM2112763	breast
GSM1722947	prostate
GSM1722949	prostate
GSM2112739	breast
GSM2112780	breast
GSM2112757	breast
GSM1702591	lung
GSM2112759	breast
GSM2112781	breast
GSM1702618	lung
GSM1702634	lung
GSM2112719	breast
GSM1409349	
GSM1722950	prostate
GSM2355683	lung
GSM1702604	lung
GSM2112738	breast
GSM1564295	lung
GSM2112732	breast
GSM1864035	breast
GSM1702636	lung
GSM1702630	lung
GSM1702617	lung
GSM1857417	colorectal
GSM2112771	breast
GSM1273054	
GSM2112773	breast
GSM1908527	breast
GSM1702596	lung
GSM1432895	colorectal
GSM1409351	
GSM2355677	lung
GSM2112766	breast
GSM1564315	lung
GSM1587497	prostate
GSM1702612	lung
GSM2355679	lung
GSM1702606	lung
GSM1409346	
GSM1857421	colorectal
GSM1702621	lung
GSM2112740	breast
GSM1864039	breast
GSM2355684	lung
GSM2190564	ovarian
GSM1432897	colorectal
GSM1968004	pancreatic
GSM1702623	lung
GSM1968005	pancreatic
GSM1702609	lung
GSM1908526	breast
GSM1702589	lung
GSM2112767	breast
GSM1409347	
GSM2112728	breast
GSM1722942	prostate
GSM2112756	breast
GSM1908528	breast
GSM1722953	prostate
GSM1409353	
GSM1702592	lung
GSM1702614	lung
GSM1702598	lung
GSM1702624	lung
GSM1864036	breast
GSM2355674	lung
GSM2355678	lung
GSM1587501	prostate
GSM2112755	breast
GSM1702599	lung
GSM1722944	prostate
GSM1702619	lung
GSM2112792	breast
GSM1537129	breast
GSM1857416	colorectal
GSM2112784	breast
GSM1273061	
GSM2112779	breast
GSM1702613	lung
GSM1702590	lung
GSM1857418	colorectal
GSM2190565	ovarian
GSM2327638	
GSM1908529	breast
GSM1702602	lung
GSM1722951	prostate
GSM2112791	breast
GSM1702616	lung
GSM1702600	lung
GSM1702603	lung
GSM1722954	prostate
GSM1968000	pancreatic
GSM1967995	pancreatic
GSM1902621	prostate
GSM1702625	lung
GSM1722956	prostate
GSM1702627	lung
GSM1409344	
GSM1702594	lung
GSM2112747	breast
GSM2112737	breast
GSM1409354	
GSM1409350	
GSM1968001	pancreatic
GSM1587499	prostate
GSM2112731	breast
GSM1967998	pancreatic
GSM1864034	breast
GSM1722946	prostate
GSM1864037	breast
GSM1864033	breast
GSM1702629	lung
GSM2327641	
GSM1432896	colorectal
GSM2112777	breast
GSM1702607	lung
GSM1967997	pancreatic
GSM1702637	lung
GSM1702632	lung
GSM1409348	
GSM2355680	lung
GSM2327640	
GSM1702635	lung
GSM1702620	lung
GSM1702633	lung
GSM1702610	lung
GSM1864038	breast
GSM1537130	breast
GSM1273496	breast
GSM1294043	breast
GSM1300621	breast
GSM1306817	colorectal
GSM1348543	breast
GSM1367027	prostate
GSM1399410	breast
GSM1401736	breast
GSM1401744	breast
GSM1401748	breast
GSM1401681	breast
GSM1401702	breast
GSM1401656	breast
GSM1401723	breast
GSM1401660	breast
GSM1424520	prostate
GSM1431875	breast
GSM1503444	breast
GSM1533414	breast
GSM1555724	prostate
GSM1556180	breast
GSM1593810	
GSM1593788	
GSM1655589	ovarian
GSM1712143	prostate
GSM1712122	prostate
GSM1712118	prostate
GSM1844655	prostate
GSM1874954	breast
GSM1897283	breast
GSM1897325	breast
GSM1897275	breast
GSM1897304	breast
GSM1922719	ovarian
GSM1957010	lung
GSM1957023	lung
GSM1971012	colorectal
GSM1980046	colorectal
GSM1982256	lung
GSM2055800	colorectal
GSM2100889	pancreatic
GSM2100868	pancreatic
GSM2100910	pancreatic
GSM2157836	colorectal
GSM2285386	
GSM2300447	lung
GSM1587790	
GSM2432795	prostate
GSM2432791	prostate
GSM2432793	prostate
GSM1587789	
GSM2432785	prostate
GSM2432789	prostate
GSM2432779	prostate
GSM2432773	prostate
GSM2432771	prostate
GSM1906836	colorectal
GSM1906837	colorectal
GSM2432769	prostate
GSM1908562	breast
GSM1908563	breast
GSM1908560	breast
GSM1908561	breast
GSM1908566	breast
GSM1908567	breast
GSM1908564	breast
GSM1908565	breast
GSM2432783	prostate
GSM2432781	prostate
GSM2432787	prostate
GSM1906838	colorectal
GSM1908548	breast
GSM1908549	breast
GSM1908544	breast
GSM1908546	breast
GSM1908547	breast
GSM1908540	breast
GSM1908541	breast
GSM1908542	breast
GSM1906865	colorectal
GSM1906864	colorectal
GSM1906861	colorectal
GSM1906860	colorectal
GSM1906863	colorectal
GSM1906862	colorectal
GSM1908553	breast
GSM1908552	breast
GSM1908551	breast
GSM1908550	breast
GSM1908557	breast
GSM1908556	breast
GSM1908555	breast
GSM1908554	breast
GSM1908559	breast
GSM1908558	breast
GSM1906839	colorectal
GSM1906858	colorectal
GSM1906859	colorectal
GSM1906850	colorectal
GSM1906851	colorectal
GSM1906852	colorectal
GSM1906853	colorectal
GSM1906854	colorectal
GSM1906855	colorectal
GSM1906856	colorectal
GSM1906857	colorectal
GSM2432765	prostate
GSM1906849	colorectal
GSM1906848	colorectal
GSM1906847	colorectal
GSM1906846	colorectal
GSM1906845	colorectal
GSM1906844	colorectal
GSM1906843	colorectal
GSM1906842	colorectal
GSM1906841	colorectal
GSM1906840	colorectal
GSM1908539	breast
GSM1908538	breast
GSM2432777	prostate
GSM2432775	prostate
GSM2432767	prostate
GSM1908545	breast
GSM1908543	breast
GSM2359808	colorectal
GSM2359809	colorectal
GSM2359806	colorectal
GSM2359807	colorectal
GSM2359804	colorectal
GSM2359805	colorectal
GSM2359802	colorectal
GSM2359803	colorectal
GSM2257525	breast
GSM2257526	breast
GSM2276811	prostate
GSM2276810	prostate
GSM2276812	prostate
GSM2257524	breast
GSM2257523	breast
GSM2359811	colorectal
GSM2359810	colorectal
GSM2359813	colorectal
GSM2359812	colorectal
GSM2276809	prostate
GSM1367787	
GSM1367788	
GSM1367785	
GSM1367786	
GSM1367789	
GSM1726618	breast
GSM1726615	breast
GSM1726613	breast
GSM1726616	breast
GSM1901148	
GSM1901157	
GSM1901158	
GSM1901154	
GSM1901150	
GSM1901152	
GSM1901156	
GSM1901155	
GSM1915705	colorectal
GSM1915702	breast
GSM1915708	colorectal
GSM1915706	colorectal
GSM1915704	colorectal
GSM1915707	colorectal
GSM1915700	breast
GSM1915701	breast
GSM1915699	breast
GSM1915709	colorectal
GSM1915703	breast
GSM1915698	breast
GSM2060176	prostate
GSM2060169	prostate
GSM2060177	prostate
GSM2060173	prostate
GSM2060174	prostate
GSM2060180	prostate
GSM2060168	prostate
GSM2060181	prostate
GSM2060182	prostate
GSM2060171	prostate
GSM2060167	prostate
GSM2060172	prostate
GSM2060170	prostate
GSM2060178	prostate
GSM2060179	prostate
GSM2060175	prostate
GSM2069447	colorectal
GSM2069448	colorectal
GSM2069445	colorectal
GSM2069443	colorectal
GSM2069446	colorectal
GSM2069449	colorectal
GSM2069444	colorectal
GSM2069442	colorectal
GSM2098749	breast
GSM2098743	breast
GSM2098737	breast
GSM2098715	breast
GSM2098747	breast
GSM2098642	breast
GSM2098735	breast
GSM2098748	breast
GSM2098712	breast
GSM2098681	breast
GSM2098683	breast
GSM2098727	breast
GSM2098676	breast
GSM2098719	breast
GSM2098632	breast
GSM2098695	breast
GSM2098730	breast
GSM2098750	breast
GSM2098671	breast
GSM2098729	breast
GSM2098641	breast
GSM2098667	breast
GSM2098710	breast
GSM2098745	breast
GSM2098740	breast
GSM2098744	breast
GSM2098666	breast
GSM2098728	breast
GSM2098677	breast
